id	slope	elevation	tpi	twi	coarse	stream
256	5.382274	752.0334	18.50857	0.017386	15.71348	49.2992
257	3.700661	754.4474	25.77006	0.107307	14.46457	34.9704
258	2.873725	402.1092	21.34488	0.711723	11.38832	74.9991
259	3.205112	466.9138	22.98684	0.227711	12.71212	43.0004
260	3.056903	417.8112	16.62685	0.807508	12	51.7925
261	3.321491	373.989	23.08496	0.827778	10.41637	82.0232
262	2.0523	418.5031	33.1672	2.016868	11.07143	99.9994
263	2.728883	367.7143	27.87365	1.098002	9.897436	99.0112
264	3.388524	389.0046	34.71405	1.603353	9.114754	87.4743
265	6.492079	434.6024	17.84577	-0.80002	13.40909	50.9791
266	11.87931	416.8855	14.77023	-0.27133	12.94737	78.4838
267	7.462405	488.351	14.51098	-0.50684	13.66964	81.3502
268	3.105943	485.8381	24.29206	0.630373	12.98982	57.9435
269	4.126453	575.7341	24.98989	0.766349	11.67188	64.5436
270	5.742888	573.8897	22.17631	0.572339	13.14085	74.8692
271	3.387275	438.5856	21.49495	0.648891	10.89571	55.4015
272	4.551284	439.6178	20.99053	0.698921	10.60504	48.2986
273	3.691114	449.3268	22.952	1.086926	9.98659	75.0922
274	4.156592	445.6817	23.02778	1.137584	12.14286	98.8487
275	4.10409	615.3632	19.42843	0.206779	15.6166	52.1523
276	5.186148	583.7378	18.69382	-0.52551	14.95745	54.0904
277	5.356442	298.5418	19.00366	-0.04428	10.93822	48.6478
278	3.983888	554.3991	19.80227	-0.0521	13.32258	66.7312
279	3.885672	554.3694	21.93555	0.341661	12.64886	57.2998
280	5.928386	536.6118	21.02936	0.040469	14.15929	52.4859
281	4.465181	700.4338	19.90667	0.300882	15.38315	44.4886
282	3.649058	669.3846	26.94119	1.106163	14.75758	98.8583
283	5.260544	707.0647	18.23327	0.108395	16.05172	62.5315
284	6.284815	588.742	15.52843	-0.19333	14.93035	54.691
285	7.561405	529.9278	20.30125	0.101523	14.75926	96.5791
286	2.289989	525.3294	27.47215	0.672508	12.82051	51.6657
287	3.108029	363.1701	16.98891	0.079637	9.957895	12.7976
288	5.271575	586.1434	17.57013	-0.47835	14.37821	29.3787
289	3.501819	546.5652	19.19817	0.501494	13.4	63.1653
290	0.715908	179.9341	36.90033	3.194801	4.148825	84.2993
291	3.597544	653.1058	26.88799	0.610337	12.44311	58.0115
292	5.606903	610.0423	17.30201	0.008029	15.10784	49.4483
293	3.88279	603.1936	25.44664	0.313751	14.30882	66.7337
294	5.233071	604.6053	22.89628	0.600489	14	74.5561
295	3.751262	490.2023	19.2956	0.082586	13.05833	44.5536
296	4.420921	330.4108	24.75054	0.243536	10.48913	52.2293
297	5.175823	315.7362	19.55607	0.358857	12.07763	75.147
298	5.225069	565.7177	18.28317	-0.22892	14.44271	37.2955
299	5.357152	430.3464	18.60299	0.631369	13.78022	46.62
300	5.461399	416.0438	12.52409	0.45151	13.10256	75.9081
301	3.876738	451.1898	19.83535	-0.07148	12.35106	25.19
302	4.433763	427.2068	16.24667	0.531623	11.92424	61.9339
303	5.223563	446.8962	15.92961	-0.54973	13.31579	33.8185
304	6.44921	420.2115	15.92637	0.328691	12.90805	54.1118
305	6.614109	530.7092	17.83059	-0.03486	14.27928	57.9182
306	5.02602	596.553	20.54681	0.180001	14.60393	59.1734
307	3.022975	582.6478	28.0696	0.905703	12.6	71.0096
308	1.460611	225.0227	37.12244	1.730971	6.024096	62.2216
309	4.322689	512.6849	23.09015	0.014714	13.59794	51.3202
310	6.364106	459.2662	13.82401	0.257194	15.13415	68.876
311	6.124024	683.4169	13.67646	-0.42291	14.42021	37.9387
312	4.529061	574.9966	15.93519	0.477084	14.09146	64.0432
